Tiempo (horas),Temperatura_Salon_1 (C),Potencia_Salon_1 (W),Temperatura_Salon_2 (C),Potencia_Salon_2 (W),Temperatura_Salon_3 (C),Potencia_Salon_3 (W),Temperatura_Salon_4 (C),Potencia_Salon_4 (W)
0.0,8.0,1591.8918918918919,8.0,1563.9639639639638,8.0,1536.036036036036,8.0,1508.1081081081081
0.001001001001001001,8.076500815830908,1634.2132227319091,8.075162599285765,1577.4009947477875,8.07382042835262,1521.5939412268706,8.072482211807474,1466.7918412934328
0.002002002002002002,8.154569108880882,1676.8837347064384,8.150524581042253,1590.2814101354822,8.146508479278035,1506.7126577250733,8.142559984342038,1426.122197433006
0.003003003003003003,8.234204142188851,1719.8202908056617,8.226058347016446,1602.5802046210624,8.218050284040645,1491.4345815884558,8.210286034407503,1386.1649229848201
0.004004004004004004,8.315401038366772,1762.9373219477832,8.301735502184446,1614.27722704509,8.28843439855632,1475.8051080476775,8.275715529989174,1346.9803429594485
0.005005005005005005,8.39815070785777,1806.1473009996662,8.377527090531915,1625.357298622482,8.357651913146476,1459.872154540887,8.338905815907848,1308.623245836965
0.006006006006006006,8.482439802361739,1849.3612370783374,8.453403832719257,1635.8102696235242,8.425696537533035,1443.6856702030439,8.39991613798041,1271.1428230950946
0.007007007007007008,8.568250693924082,1892.4891831825535,8.529336362494732,1645.6310143171,8.492564660689471,1427.2971404594168,8.458807368000848,1234.5826620409302
0.008008008008008008,8.65556147999399,1935.4407500373113,8.605295458918372,1654.8193651172473,8.55825538574125,1410.7590951044917,8.515641731922237,1198.9807897409498
0.009009009009009009,8.74434601439316,1978.125619040529,8.681252271563556,1663.3799881472114,8.622770540505377,1394.1246277685004,8.570482543496663,1164.3697650437591
0.01001001001001001,8.834573963802997,2020.4540473766235,8.757178536037328,1671.322203608704,8.686114664638758,1377.446934010533,8.623393945474117,1130.7768150041395
0.011011011011011011,8.926210889034216,2062.3373586976763,8.833046777370113,1678.659755383087,8.748294974687832,1360.7788744619259,8.67444066026366,1098.2240114573108
0.012012012012012012,9.019218244837683,2103.688415039348,8.908830461848044,1685.4105345645794,8.809321263355725,1344.1725682202712,8.723687739548476,1066.7284821758014
0.013013013013013013,9.11355382937994,2144.422057320494,8.984504286396408,1691.5962652882183,8.869205966837445,1327.679022102945,8.771200378197754,1036.3026552883437
0.014014014014014016,9.209171603231121,2184.4555203401374,9.060044211499203,1697.242155868433,8.927963925789822,1311.3477975730332,8.81704365938237,1006.9545262183962
0.015015015015015015,9.306021968427265,2223.7088111493213,9.135427640062826,1702.3765243002813,8.985612331567832,1295.2267187391806,8.861282373444139,978.6879458112164
0.016016016016016016,9.404051952343474,2262.10504941226,9.210633533479747,1707.0304044659827,9.042170608167769,1279.3616225384787,8.903980836325438,951.5029235832782
0.01701701701701702,9.503205406326662,2299.5707674695454,9.285642507226841,1711.2371398578305,9.097660283928315,1263.7961514828394,8.945202723953924,925.3959411897844
0.018018018018018018,9.60342321685553,2336.036168685466,9.360436905789618,1715.0319713801093,9.152104855176235,1248.5715884605158,8.985010922827941,900.3602714739086
0.01901901901901902,9.704643526962506,2371.4353435056037,9.435000857022589,1718.4516253996305,9.205529643943853,1233.7267322947807,9.023467396836484,876.3862987999855
0.02002002002002002,9.80680196564554,2405.7064434485324,9.50932030634599,1721.5339077021515,9.257961651784461,1219.2978120837568,9.060633070153312,853.4618367655596
0.021021021021021023,9.909831883046783,2438.791813987975,9.583383031442064,1724.3173084077832,9.309429411585569,1205.318437786314,9.096567725871507,831.5724398179282
0.022022022022022022,10.013664589241687,2470.638087934975,9.657178638339955,1726.840622230135,9.359962839124607,1191.819584080831,9.131329919892966,810.7017057540593
0.02302302302302302,10.118229594599875,2501.196241492315,9.730698539970879,1729.1425877588124,9.409593085943738,1178.8296042042746,9.16497690945824,790.8315665445984
0.024024024024024024,10.223454849809805,2530.421615618978,9.803935918428342,1731.2615487281716,9.45835239493686,1166.374270272402,9.197564595595628,771.9425653804483
0.025025025025025023,10.329266983815252,2558.2739057077147,9.87688567228455,1733.2351395298535,9.506273959853216,1154.4768364789272,9.229147478683977,754.0141182835046
0.026026026026026026,10.435591538086442,2584.7171228439065,9.9495443503952,1735.0999965521673,9.553391789732173,1143.1581215611575,9.259778626260363,737.0247590427687
0.02702702702702703,10.542353195833215,2609.719530082208,10.021910073671679,1736.891496302036,9.599740579096649,1132.4366069893272,9.289509652160108,720.9523666264284
0.02802802802802803,10.649476004953483,2633.2535572548,10.093982446315515,1738.6435206971992,9.645355584551385,1122.3285474734128,9.318390706051272,705.7743745745892
0.02902902902902903,10.756883593707546,2655.2956978189327,10.165762457999245,1740.3882494166337,9.690272508262234,1112.8480905714036,9.346470472416309,691.4679621930309
0.03003003003003003,10.864499378291958,2675.826391171356,10.237252378442692,1742.155978770836,9.734527388632813,1104.0074024138921,9.37379617803861,678.0102276439164
0.031031031031031032,10.972246761673686,2694.8298937129416,10.308455645779686,1743.9749662029499,9.778156498350192,1095.8167968195196,9.40041360706888,665.3783432645893
0.03203203203203203,11.080049323214817,2712.2941417492416,10.379376750040212,1745.8712992561307,9.821196249840224,1088.2848653533613,9.426367122773692,653.5496936412667
0.03303303303303303,11.187830998781244,2728.2106090722973,10.450021112991626,1747.8687876390895,9.86368310805808,1081.4186061662208,9.451699695104457,642.5019971223935
0.03403403403403404,11.295516251174455,2742.574161796181,10.520394965492962,1749.988876885793,9.905653510439652,1075.2235497389236,9.476452933267225,632.2134115791016
