Tiempo (s),Tiempo (horas),Temperatura_Salon_5 (C),Potencia_Salon_5 (W)
0.0,0.0,8.0,0.0
1.0,0.0002777777777777778,8.02314606741573,1730.3999999999999
2.0,0.0005555555555555556,8.046288870303366,1733.0167978121472
3.0,0.0008333333333333334,8.06942832170242,1735.6266909628164
4.0,0.0011111111111111111,8.092564238935342,1738.2225128956436
5.0,0.001388888888888889,8.115696343253175,1740.7970587336365
6.0,0.0016666666666666668,8.13882426113376,1743.343208778531
7.0,0.0019444444444444444,8.161947525850296,1745.853948884355
8.0,0.0022222222222222222,8.185065579140925,1748.322378202459
9.0,0.0025,8.20817777302958,1750.7417206977134
10.0,0.002777777777777778,8.23128337183956,1753.1053397803935
11.0,0.0030555555555555557,8.254381554419325,1755.406754422672
12.0,0.0033333333333333335,8.277471416587217,1757.6396557977482
13.0,0.003611111111111111,8.300551973794901,1759.7979239366973
14.0,0.0038888888888888888,8.32362216400582,1761.8756441293626
15.0,0.004166666666666667,8.346680850782667,1763.8671229080828
16.0,0.0044444444444444444,8.36972682657657,1765.7669035089705
17.0,0.004722222222222222,8.39275881620966,1767.5697807346282
18.0,0.005,8.415775480541855,1769.2708151583624
19.0,0.005277777777777778,8.438775420312115,1770.8653466196658
20.0,0.005555555555555556,8.461757180143797,1772.3490069671363
21.0,0.005833333333333334,8.484719252703238,1773.7177320096268
22.0,0.006111111111111111,8.50766008300027,1774.9677726401444
23.0,0.006388888888888889,8.530578072818907,1776.0957051002208
24.0,0.006666666666666667,8.553471585266138,1777.0984403554298
25.0,0.006944444444444444,8.576338949426338,1777.9732325555387
26.0,0.007222222222222222,8.599178465108608,1778.717686555547
27.0,0.0075,8.621988407674007,1779.329764476598
28.0,0.0077777777777777776,8.64476703292949,1779.8077912885003
29.0,0.008055555555555555,8.667512582075133,1780.1504593983516
30.0,0.008333333333333333,8.690223286691078,1780.3568322325373
31.0,0.008611111111111111,8.712897373750563,1780.4263468021768
32.0,0.008888888888888889,8.735533070645284,1780.3588152448983
33.0,0.009166666666666667,8.758128610209313,1780.1544253386567
34.0,0.009444444444444445,8.780682235727829,1779.8137399861334
35.0,0.009722222222222222,8.803192205916902,1779.337695671101
36.0,0.01,8.825656799860717,1778.7275998909447
37.0,0.010277777777777778,8.84807432189268,1777.9851275723636
38.0,0.010555555555555556,8.870443106407048,1777.1123164800536
39.0,0.010833333333333334,8.89276152258788,1776.111561630943
40.0,0.011111111111111112,8.915027979042367,1774.98560872928
41.0,0.01138888888888889,8.93724092832582,1773.7375466405542
42.0,0.011666666666666667,8.959398871345936,1772.370798924878
43.0,0.011944444444444445,8.981500361634254,1770.889114453022
44.0,0.012222222222222223,9.003544009473108,1769.296557130825
45.0,0.0125,9.025528485866758,1767.5974947601349
46.0,0.012777777777777779,9.047452526345806,1765.7965870668136
47.0,0.013055555555555556,9.069314934594498,1763.8987729286107
48.0,0.013333333333333334,9.09111458589094,1761.9092568379176
49.0,0.01361111111111111,9.112850430350816,1759.8334946364985
50.0,0.013888888888888888,9.134521495965716,1757.6771785613014
51.0,0.014166666666666666,9.156126891427741,1755.4462216423324
52.0,0.014444444444444444,9.177665808732648,1753.1467414953593
53.0,0.014722222222222222,9.199137525554404,1750.785043553862
54.0,0.015,9.22054140738463,1748.367603786193
55.0,0.015277777777777777,9.24187690943108,1745.9010509453165
56.0,0.015555555555555555,9.263143578269952,1743.392148399774
57.0,0.015833333333333335,9.2843410532475,1740.8477755956806
58.0,0.01611111111111111,9.305469067627104,1738.2749092005588
59.0,0.01638888888888889,9.326527449478656,1735.6806039806938
60.0,0.016666666666666666,9.347516122307827,1733.071973464421
61.0,0.016944444444444446,9.368435105423492,1730.4561704443468
62.0,0.017222222222222222,9.389284514042293,1727.840367371944
63.0,0.0175,9.410064559130076,1725.2317366982538
64.0,0.017777777777777778,9.430775546980612,1722.6374312145815
65.0,0.018055555555555554,9.451417878532784,1720.064564447064
66.0,0.018333333333333333,9.471992048428078,1717.5201911588485
67.0,0.01861111111111111,9.492498643811004,1715.0112880133167
68.0,0.01888888888888889,9.512938342875696,1712.5447344513555
69.0,0.019166666666666665,9.53331191316269,1710.1272938350794
70.0,0.019444444444444445,9.55362020961056,1707.7655949096873
71.0,0.01972222222222222,9.573864172367735,1705.4661136342518
72.0,0.02,9.594044824370497,1703.23515543124
73.0,0.020277777777777777,9.614163268693815,1701.0788379033982
74.0,0.020555555555555556,9.634220685682243,1699.003074065366
75.0,0.020833333333333332,9.654218329868781,1697.0135561359507
76.0,0.021111111111111112,9.674157526690125,1695.115739935469
77.0,0.021388888888888888,9.6940396690073,1693.3148299308807
78.0,0.021666666666666667,9.713866213441227,1691.6157649696568
79.0,0.021944444444444444,9.733638676533255,1690.0232047414222
80.0,0.022222222222222223,9.753358630741186,1688.5415170043832
81.0,0.0225,9.77302770028174,1687.174765611423
