Tiempo (horas),Temperatura_Salon_1 (C),Potencia_Salon_1 (W),Referencia_Salon_1 (C),Temperatura_Salon_2 (C),Potencia_Salon_2 (W),Referencia_Salon_2 (C),Temperatura_Salon_3 (C),Potencia_Salon_3 (W),Referencia_Salon_3 (C),Temperatura_Salon_4 (C),Potencia_Salon_4 (W),Referencia_Salon_4 (C)
0.0,8.0,4999.999999999998,22.0,8.0,4999.999999999997,21.0,8.0,4999.999999999997,20.0,8.0,4999.999999999998,19.0
0.016666666666666666,12.012841091492776,4999.999999999998,22.0,12.012841091492776,4999.999999999996,21.0,12.012841091492776,4999.999999999997,20.0,12.012841091492776,4999.999999999997,19.0
0.03333333333333333,15.627618652561386,4999.999999999998,22.0,15.627618652561388,4592.58282253323,21.0,15.62761865256139,3879.585929764965,20.0,15.627618652561386,3190.0918763446903,19.0
0.05,18.88381956310987,3417.109287185395,22.0,18.55683948488614,2909.305489217465,21.0,17.98461083900471,2513.3725971169347,20.0,17.431244825023747,2097.988099626085,19.0
0.06666666666666667,20.51420034281819,2506.8320867978196,22.0,19.820216215161455,2169.223990426708,21.0,19.013187178265426,1916.4946844430247,20.0,18.234360618427594,1613.5224774734545,19.0
0.08333333333333333,21.2158861263231,2113.9519565102655,22.0,20.37741759192773,1844.6119260450237,21.0,19.46162263201648,1655.260351125118,20.0,18.59135778362162,1398.9007785127642,19.0
0.1,21.51832089393583,1944.2172623276356,22.0,20.622365878837034,1702.4787985491796,21.0,19.657634923823306,1540.7933875698725,20.0,18.749763635723333,1303.919597082092,19.0
0.11666666666666667,21.64882872697833,1870.827895224904,22.0,20.729792580082165,1640.3237468503614,21.0,19.743459615489318,1490.600379712702,20.0,18.81995761880186,1261.9193601132165,19.0
0.13333333333333333,21.705200955561008,1839.0743852632902,22.0,20.77682588448417,1613.1683211473073,21.0,19.781079742994397,1468.5819733894505,20.0,18.851031009829043,1243.3591614328332,19.0
0.15,21.729570448635528,1825.3275449162124,22.0,20.797392158578894,1601.3121518517955,21.0,19.797581120862965,1458.9210970578872,20.0,18.86477559412856,1235.1617657262789,19.0
0.16666666666666666,21.740112503863347,1819.3732209723755,22.0,20.80637696872396,1596.1382341119318,21.0,19.804821852545583,1454.6820005491336,20.0,18.87085124853976,1231.5429776898447,19.0
0.18333333333333332,21.744675588415223,1816.793020519417,22.0,20.810299553444047,1593.8811853598247,21.0,19.807999593539986,1452.8219902445708,20.0,18.87353546204333,1229.9461194183302,19.0
0.2,21.746651703879795,1815.6744991251244,22.0,20.812011241592067,1592.8968288084964,21.0,19.80939425555779,1452.005940894045,20.0,18.874720777422752,1229.2417488948934,19.0
0.21666666666666667,21.74750787353214,1815.1894478944366,22.0,20.812757903720993,1592.4676021502605,21.0,19.810006316940978,1451.647959533859,20.0,18.875243973813546,1228.9311650453274,19.0
0.23333333333333334,21.747878963786718,1814.9790365232027,22.0,20.813083526026766,1592.280461474451,21.0,19.810274895813702,1451.490945617051,20.0,18.8754748209183,1228.7942636223584,19.0
0.25,21.748039863058015,1814.8877351357962,22.0,20.813225506019013,1592.1988755198645,21.0,19.81039273364014,1451.422089086029,20.0,18.87557663874649,1228.7339389280917,19.0
0.26666666666666666,21.74810964919911,1814.8481071180256,22.0,20.8132874055695,1592.1633089289298,21.0,19.81044442589157,1451.391897910694,20.0,18.8756215309679,1228.7073656044688,19.0
0.2833333333333333,21.748139926217085,1814.830902863228,22.0,20.813314390019716,1592.1478043749983,21.0,19.810467097918956,1451.3786623164715,20.0,18.875641317636763,1228.6956634729002,19.0
0.3,21.74815306563025,1814.823431998546,22.0,20.813326153052543,1592.1410454982258,21.0,19.81047704003329,1451.3728608560793,20.0,18.875650035980165,1228.69051169949,19.0
0.31666666666666665,21.74815876923542,1814.820187098969,22.0,20.81333128066599,1592.1380990820228,21.0,19.810481399083194,1451.370318336214,20.0,18.875653876231613,1228.6882443145423,19.0
0.3333333333333333,21.748161245667433,1814.8187774151825,22.0,20.81333351583072,1592.1368146160426,21.0,19.810483309956957,1451.3692042274583,20.0,18.875655567272357,1228.6872466733157,19.0
0.35,21.748162321143248,1814.8181648850004,22.0,20.81333449016554,1592.1362546475664,21.0,19.810484147490634,1451.368716103336,20.0,18.875656311697934,1228.6868078315638,19.0
0.36666666666666664,21.748162788304445,1814.8178986810915,22.0,20.81333491489855,1592.1360105184099,21.0,19.810484514524447,1451.3685022698687,20.0,18.875656639314045,1228.6866148438626,19.0
0.38333333333333336,21.748162991268888,1814.8177829690007,22.0,20.81333510005399,1592.1359040813668,21.0,19.81048467534698,1451.368408607107,20.0,18.875656783455817,1228.6865299955539,19.0
0.4,21.748163079466323,1814.8177326633227,22.0,20.813335180772345,1592.135857674257,21.0,19.810484745804654,1451.3683675860138,20.0,18.875656846857233,1228.6864927004149,19.0
0.4166666666666667,21.748163117799155,1814.8177107894332,22.0,20.813335215962848,1592.135837439604,21.0,19.81048477666875,1451.3683496221668,20.0,18.87565687473746,1228.6864763111191,19.0
0.43333333333333335,21.74816313446247,1814.8177012767517,22.0,20.813335231305395,1592.1358286163806,21.0,19.81048479018717,1451.3683417563109,20.0,18.875656886994502,1228.6864691104768,19.0
0.45,21.74816314170723,1814.81769713918,22.0,20.813335237994828,1592.1358247688738,21.0,19.810484796107538,1451.36833831242,20.0,18.875656892381794,1228.68646594756,19.0
0.4666666666666667,21.74816314485756,1814.817695339273,22.0,20.8133352409116,1592.135823091021,21.0,19.81048479870007,1451.3683368047264,20.0,18.875656894749106,1228.6864645585206,19.0
